typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",2,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,0,TRUE,0,FALSE,,68752533.42,68752533.42,4,FALSE,TRUE
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,4802,"Uncoated paper and paperboard, used for writing, printing or other graphics, non perforated punch-cards and punch tape paper, in rolls or rectangular sheets, of any size, other than paper of heading 4801 or 4803; hand-made paper and paperboard",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3103874.289,TRUE,-1,N/A,0,FALSE,3103874.289,TRUE,0,FALSE,,3195572.998,3195572.998,6,FALSE,TRUE
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,480240,"Uncoated paper and paperboard (not 4801 or 4803); wallpaper base, in rolls or sheets",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,43,FALSE,8,kg,43,FALSE,43,FALSE,0,FALSE,,671.95,671.95,0,FALSE,TRUE
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,480254,"Uncoated paper and paperboard (not 4801 or 4803); printing, writing or graphic, 10% or less by weight of mechanical or chemi-mechanical processed fibre, weighing less than 40g/m2, in rolls or sheets",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,41199,FALSE,8,kg,41199,FALSE,41199,FALSE,0,FALSE,,62111.501,62111.501,0,FALSE,TRUE
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,480255,"Uncoated paper and paperboard (not 4801 or 4803); printing, writing or graphic, 10% or less by weight of mechanical or chemi-mechanical processed fibre, weighing 40g/m2 to 150g/m2, in rolls",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2392056,FALSE,8,kg,2392056,FALSE,2392056,FALSE,0,FALSE,,2326905.58,2326905.58,0,FALSE,TRUE
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,480256,"Uncoated paper and paperboard (not 4801 or 4803); printing, writing or graphic, 10% or less by weight of mechanical or chemi-mechanical processed fibre, weight 40-150g/m2, in sheets 435mm or less by 297mm or less (unfolded)",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,8,kg,172148.082,FALSE,0,TRUE,0,FALSE,,221059.368,221059.368,6,FALSE,TRUE
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,480257,"Uncoated paper and paperboard (not 4801 or 4803); printing, writing or graphic, 10% or less by weight of mechanical or chemi-mechanical processed fibre, weight 40-150g/m2, n.e.c. in item no. 4802.55 or 4802.56",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,429835,FALSE,8,kg,429835,FALSE,429835,FALSE,0,FALSE,,424221.285,424221.285,0,FALSE,TRUE
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,480258,"Uncoated paper and paperboard (not 4801 or 4803); printing, writing or graphic, 10% or less by weight of mechanical or chemi-mechanical processed fibre, weighing more than 150g/m2",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,67539.8,FALSE,8,kg,67539.8,FALSE,67539.8,FALSE,0,FALSE,,160379.704,160379.704,0,FALSE,TRUE
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,480269,"Uncoated paper and paperboard (not 4801 or 4803); over 10% by weight of mechanical or chemi-mechanical processed fibre, other than rolls, other than sheets 435mm or less by 297mm or less (unfolded)",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,12.37,FALSE,8,kg,12.37,FALSE,12.37,FALSE,0,FALSE,,223.609,223.609,0,FALSE,TRUE
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,4803,"Tissue, towel, napkin stock or similar; for household or sanitary uses, cellulose wadding, webs of cellulose fibres, in rolls over 36cm in width or rectangular sheets with one side exceeding 36cm when unfolded",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,211,FALSE,8,kg,211,FALSE,211,FALSE,0,FALSE,,3910.139,3910.139,0,FALSE,TRUE
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,480300,"Tissue, towel, napkin stock or similar; for household or sanitary use, cellulose, wadding webs of cellulose fibres, in rolls exceeding 36cm in width or rectangular sheets with one side more than 36cm in unfolded state",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,211,FALSE,8,kg,211,FALSE,211,FALSE,0,FALSE,,3910.139,3910.139,0,FALSE,TRUE
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,4804,"Uncoated kraft paper and paperboard, in rolls or sheets, other than that of heading no. 4802 or 4803",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8934034.5,FALSE,8,kg,8934034.5,FALSE,8934034.5,FALSE,0,FALSE,,8670015.122,8670015.122,0,FALSE,TRUE
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,480421,"Kraft paper and paperboard; sack kraft paper, uncoated, unbleached, in rolls or sheets, other than that of heading no. 4802 or 4803",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6029440,FALSE,8,kg,6029440,FALSE,6029440,FALSE,0,FALSE,,5899481.676,5899481.676,0,FALSE,TRUE
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,480429,"Kraft paper and paperboard; sack kraft paper, uncoated, bleached, in rolls or sheets, other than that of heading no. 4802 or 4803",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,75638,FALSE,8,kg,75638,FALSE,75638,FALSE,0,FALSE,,76214.745,76214.745,0,FALSE,TRUE
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,480431,"Kraft paper and paperboard; uncoated, unbleached, weight 150g/m2 or less, in rolls or sheets, other than that of heading no. 4802 or 4803",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1937511,FALSE,8,kg,1937511,FALSE,1937511,FALSE,0,FALSE,,1844923.469,1844923.469,0,FALSE,TRUE
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,480439,"Kraft paper and paperboard; uncoated, bleached, weight 150g/m2 or less, in rolls or sheets, other than that of heading no. 4802 or 4803",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,891444,FALSE,8,kg,891444,FALSE,891444,FALSE,0,FALSE,,849169.778,849169.778,0,FALSE,TRUE
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,480459,"Kraft paper and paperboard; uncoated, weight 225g/m2 or more, in rolls or sheets, n.e.c. in item no. 4804.5, other than that of heading no. 4802 or 4803",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.5,FALSE,8,kg,1.5,FALSE,1.5,FALSE,0,FALSE,,225.454,225.454,0,FALSE,TRUE
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,4805,"Uncoated paper and paperboard n.e.c., in rolls or sheets",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,74875960.2,FALSE,8,kg,74875960.2,FALSE,74875960.2,FALSE,0,FALSE,,51679464.11,51679464.11,0,FALSE,TRUE
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,480519,"Paper and paperboard; uncoated, fluting paper other than semi-chemical or straw, rolls or sheets",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,111928,FALSE,8,kg,111928,FALSE,111928,FALSE,0,FALSE,,56286.493,56286.493,0,FALSE,TRUE
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,480524,"Paper & paperboard; uncoated, testliner (recycled linerboard), weight 150g/m2, or less, in rolls or sheets",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,43355200,FALSE,8,kg,43355200,FALSE,43355200,FALSE,0,FALSE,,23634671.69,23634671.69,0,FALSE,TRUE
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,480530,"Paper and paperboard; sulphite wrapping paper, uncoated, in rolls or sheets",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,448.29,FALSE,8,kg,448.29,FALSE,448.29,FALSE,0,FALSE,,421.564,421.564,0,FALSE,TRUE
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,480540,"Paper and paperboard; filter paper and paperboard, uncoated, in rolls or sheets",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,243589,FALSE,8,kg,243589,FALSE,243589,FALSE,0,FALSE,,1169342.973,1169342.973,0,FALSE,TRUE
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,480591,"Paper and paperboard; uncoated, weight 150g/m2 or less, in rolls or sheets, n.e.c. in heading no.4805",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7640000,FALSE,8,kg,7640000,FALSE,7640000,FALSE,0,FALSE,,6234386.824,6234386.824,0,FALSE,TRUE
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,480592,"Paper and paperboard; uncoated, weight more than 150g/m2 but less than 225 g/m2, in rolls or sheets, n.e.c. in heading no. 4805",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,21657900,FALSE,8,kg,21657900,FALSE,21657900,FALSE,0,FALSE,,19439043.09,19439043.09,0,FALSE,TRUE
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,480593,"Paper and paperboard; uncoated, weight 225/m2 or more, in rolls or sheets, n.e.c. in heading no. 4805",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1866894.91,FALSE,8,kg,1866894.91,FALSE,1866894.91,FALSE,0,FALSE,,1145311.476,1145311.476,0,FALSE,TRUE
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,4806,"Vegetable parchment, greaseproof papers, tracing papers, glassine and other glazed transparent or translucent papers, in rolls or sheets",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2418.508,FALSE,8,kg,2418.508,FALSE,2418.508,FALSE,0,FALSE,,9338.716,9338.716,0,FALSE,TRUE
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,480620,"Paper; greaseproof papers, in rolls or sheets",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1000,FALSE,8,kg,1000,FALSE,1000,FALSE,0,FALSE,,3881.754,3881.754,0,FALSE,TRUE
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,480630,"Paper; tracing papers, in rolls or sheets",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1030,FALSE,8,kg,1030,FALSE,1030,FALSE,0,FALSE,,4441.592,4441.592,0,FALSE,TRUE
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,480640,"Paper; glassine and other glazed transparent or translucent papers, in rolls or sheets",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,388.508,FALSE,8,kg,388.508,FALSE,388.508,FALSE,0,FALSE,,1015.371,1015.371,0,FALSE,TRUE
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,4807,"Composite paper and paperboard, (made by sticking layers together with an adhesive), not surface-coated or impregnated, whether or not internally reinforced, in rolls or sheets",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,396407,FALSE,8,kg,396407,FALSE,396407,FALSE,0,FALSE,,258681.427,258681.427,0,FALSE,TRUE
C,A,20210101,2021,52,2021,724,ESP,Spain,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,TRUE,480700,"Paper and paperboard; composite (made by sticking layers together with an adhesive), not surface-coated or impregnated, whether or not internally reinforced, in rolls or sheets",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,396407,FALSE,8,kg,396407,FALSE,396407,FALSE,0,FALSE,,258681.427,258681.427,0,FALSE,TRUE
