typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20160101","2016","52","2016","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H4","HS","true","69","Ceramic products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","12036","0","12036","4","false","true",
"C","A","20160101","2016","52","2016","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H4","HS","true","6904","Ceramic building bricks, floor blocks, support or filler tiles and the like","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","9","1000u","7.333","true","-1","N/A","0","false","34629.922","true","0","false","3695","0","3695","6","false","true",
"C","A","20160101","2016","52","2016","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H4","HS","true","690410","Ceramic building bricks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","9","1000u","7.333","true","9","1000u","0","false","34629.922","true","0","false","3695","0","3695","6","false","true",
"C","A","20160101","2016","52","2016","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H4","HS","true","6910","Ceramic sinks, wash basins, wash basin pedestals, baths, bidets, water closet pans, flushing cisterns, urinals and similar sanitary fixtures","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","11","false","5","u","11","false","347.055","true","0","false","880","0","880","4","false","true",
"C","A","20160101","2016","52","2016","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H4","HS","true","691010","Ceramic sinks, wash basins, wash basin pedestals, baths, bidets, water closet pans, flushing cisterns, urinals and similar sanitary fixtures; of porcelain or china","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","11","false","5","u","11","false","347.055","true","0","false","880","0","880","4","false","true",
"C","A","20160101","2016","52","2016","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H4","HS","true","6911","Tableware, kitchenware, other household articles and toilet articles; of porcelain or china","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1613.485","true","-1","N/A","0","false","1613.485","true","0","false","7461","0","7461","6","false","true",
"C","A","20160101","2016","52","2016","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H4","HS","true","691110","Tableware and kitchenware; of porcelain or china","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1613.485","true","-1","N/A","0","false","1613.485","true","0","false","7461","0","7461","6","false","true",
"C","A","20170101","2017","52","2017","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","69","Ceramic products","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false",,"false","12894",,"12894","0","false","true",
"C","A","20170101","2017","52","2017","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","6904","Ceramic building bricks, floor blocks, support or filler tiles and the like","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","490","false","8","kg","490","false","490","false",,"false","564",,"564","0","false","true",
"C","A","20170101","2017","52","2017","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","690490","Ceramic flooring blocks, supports or filler tiles and the like (excluding building bricks)","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","490","false","8","kg","490","false","490","false",,"false","564",,"564","0","false","true",
"C","A","20170101","2017","52","2017","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","6910","Ceramic sinks, wash basins, wash basin pedestals, baths, bidets, water closet pans, flushing cisterns, urinals and similar sanitary fixtures","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","31","false","5","u","31","false","701","false",,"false","2752",,"2752","0","false","true",
"C","A","20170101","2017","52","2017","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","691010","Ceramic sinks, wash basins, wash basin pedestals, baths, bidets, water closet pans, flushing cisterns, urinals and similar sanitary fixtures; of porcelain or china","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","31","false","5","u","31","false","701","false",,"false","2752",,"2752","0","false","true",
"C","A","20170101","2017","52","2017","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","6911","Tableware, kitchenware, other household articles and toilet articles; of porcelain or china","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","841","false","8","kg","841","false","841","false",,"false","9578",,"9578","0","false","true",
"C","A","20170101","2017","52","2017","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","691110","Tableware and kitchenware; of porcelain or china","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","841","false","8","kg","841","false","841","false",,"false","9578",,"9578","0","false","true",
"C","A","20180101","2018","52","2018","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","69","Ceramic products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","15292","0","15292","0","false","true",
"C","A","20180101","2018","52","2018","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","6907","Ceramic flags and paving, hearth or wall tiles; ceramic mosaic cubes and the like, whether or not on a backing; finishing ceramics","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","2","m²","31.695","true","-1","N/A","0","false","58","false","0","false","241","0","241","2","false","true",
"C","A","20180101","2018","52","2018","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","690722","Ceramic tiles; flags and paving, hearth or wall tiles other than those of subheadings 6907.30 and 6907.40, of a water absorption coefficient by weight over 0.5% but not over 10%","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","2","m²","31.695","true","8","kg","58","false","58","false","0","false","241","0","241","2","true","false",
"C","A","20180101","2018","52","2018","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","6910","Ceramic sinks, wash basins, wash basin pedestals, baths, bidets, water closet pans, flushing cisterns, urinals and similar sanitary fixtures","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","66.452","true","-1","N/A","0","false","214","false","0","false","3614","0","3614","2","false","true",
"C","A","20180101","2018","52","2018","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","691010","Ceramic sinks, wash basins, wash basin pedestals, baths, bidets, water closet pans, flushing cisterns, urinals and similar sanitary fixtures; of porcelain or china","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","66.452","true","8","kg","214","false","214","false","0","false","3614","0","3614","2","true","false",
"C","A","20180101","2018","52","2018","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","6911","Tableware, kitchenware, other household articles and toilet articles; of porcelain or china","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1769","false","8","kg","1769","false","1769","false","0","false","11437","0","11437","0","false","true",
"C","A","20180101","2018","52","2018","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","691110","Tableware and kitchenware; of porcelain or china","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1769","false","8","kg","1769","false","1769","false","0","false","11437","0","11437","0","true","false",
"C","A","20190101","2019","52","2019","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","69","Ceramic products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","8119","0","8119","0","false","true",
"C","A","20190101","2019","52","2019","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","6910","Ceramic sinks, wash basins, wash basin pedestals, baths, bidets, water closet pans, flushing cisterns, urinals and similar sanitary fixtures","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","142.199","true","-1","N/A","0","false","510","false","0","false","6495","0","6495","2","false","true",
"C","A","20190101","2019","52","2019","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","691010","Ceramic sinks, wash basins, wash basin pedestals, baths, bidets, water closet pans, flushing cisterns, urinals and similar sanitary fixtures; of porcelain or china","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","142.199","true","8","kg","510","false","510","false","0","false","6495","0","6495","2","true","false",
"C","A","20190101","2019","52","2019","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","6911","Tableware, kitchenware, other household articles and toilet articles; of porcelain or china","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","226","false","8","kg","226","false","226","false","0","false","1624","0","1624","0","false","true",
