typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,156,CHN,China,0,W00,World,H4,HS,TRUE,72,Iron and steel,2,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,,FALSE,1136960888,,1136960888,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,156,CHN,China,0,W00,World,H4,HS,TRUE,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,355528000,FALSE,8,kg,355528000,FALSE,355528000,FALSE,,FALSE,119816949.8,,119816949.8,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,156,CHN,China,0,W00,World,H4,HS,TRUE,720110,"Iron; non-alloy pig iron containing by weight 0.5% or less of phosphorus, in pigs, blocks or other primary forms",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,355528000,FALSE,8,kg,355528000,FALSE,355528000,FALSE,,FALSE,119816949.8,,119816949.8,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,156,CHN,China,0,W00,World,H4,HS,TRUE,7202,Ferro-alloys,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,969000,FALSE,8,kg,969000,FALSE,969000,FALSE,,FALSE,1484001.855,,1484001.855,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,156,CHN,China,0,W00,World,H4,HS,TRUE,720221,"Ferro-alloys; ferro-silicon, containing by weight more than 55% of silicon",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,454000,FALSE,8,kg,454000,FALSE,454000,FALSE,,FALSE,657067.488,,657067.488,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,156,CHN,China,0,W00,World,H4,HS,TRUE,720229,"Ferro-alloys; ferro-silicon, containing by weight 55% or less of silicon",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,76000,FALSE,8,kg,76000,FALSE,76000,FALSE,,FALSE,81066.768,,81066.768,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,156,CHN,China,0,W00,World,H4,HS,TRUE,720299,Ferro-alloys; n.e.c. in heading no. 7202,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,439000,FALSE,8,kg,439000,FALSE,439000,FALSE,,FALSE,745867.599,,745867.599,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,156,CHN,China,0,W00,World,H4,HS,TRUE,7203,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or the like; iron having a minimum purity of 99.94%, in lumps, pellets or similar forms",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,28220000,FALSE,8,kg,28220000,FALSE,28220000,FALSE,,FALSE,13466950.17,,13466950.17,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,156,CHN,China,0,W00,World,H4,HS,TRUE,720390,"Ferrous products; spongy ferrous products and iron having a minimum purity by weight of 99.94%, in lumps, pellets or similar forms",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,28220000,FALSE,8,kg,28220000,FALSE,28220000,FALSE,,FALSE,13466950.17,,13466950.17,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,156,CHN,China,0,W00,World,H4,HS,TRUE,7204,Ferrous waste and scrap; remelting scrap ingots of iron or steel,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1014000,FALSE,8,kg,1014000,FALSE,1014000,FALSE,,FALSE,550134.021,,550134.021,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,156,CHN,China,0,W00,World,H4,HS,TRUE,720429,Ferrous waste and scrap; of alloy steel (excluding stainless),6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1014000,FALSE,8,kg,1014000,FALSE,1014000,FALSE,,FALSE,550134.021,,550134.021,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,156,CHN,China,0,W00,World,H4,HS,TRUE,7205,"Granules and powders, of pig iron, spiegeleisen, iron or steel",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8500000,FALSE,8,kg,8500000,FALSE,8500000,FALSE,,FALSE,4259471.991,,4259471.991,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,156,CHN,China,0,W00,World,H4,HS,TRUE,720510,"Iron or steel, pig iron, spiegeleisen; granules thereof",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8356000,FALSE,8,kg,8356000,FALSE,8356000,FALSE,,FALSE,4171205.214,,4171205.214,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,156,CHN,China,0,W00,World,H4,HS,TRUE,720529,"Iron or steel, pig iron, spiegeleisen; powders (excluding alloy steel)",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,144000,FALSE,8,kg,144000,FALSE,144000,FALSE,,FALSE,88266.777,,88266.777,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,156,CHN,China,0,W00,World,H4,HS,TRUE,7207,Iron or non-alloy steel; semi-finished products thereof,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,622599000,FALSE,8,kg,622599000,FALSE,622599000,FALSE,,FALSE,195329844.2,,195329844.2,0,FALSE,TRUE
C,A,20160101,2016,52,2016,682,SAU,Saudi Arabia,M,Import,156,CHN,China,0,W00,World,H4,HS,TRUE,720711,"Iron or non-alloy steel; semi-finished products of iron or non-alloy steel; containing by weight less than 0.25% of carbon, of rectangular (including square) cross-section, width less than twice thickness",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,621998000,FALSE,8,kg,621998000,FALSE,621998000,FALSE,,FALSE,194926643.7,,194926643.7,0,FALSE,TRUE
